f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,fault,hotel
13.3,10.2,29.5,33.6,544.4,11.0,47.6,281.8,918.5,6.1,57.0,25.0,66.0,101.0,24379.0,398.0,63.0,0.0,0
19.7,18.0,30.3,33.2,395.42,15.3,43.0,392.0,862.6,2.7,58.0,25.3,34.6,68.0,19532.0,377.0,40.2,0.0,1
20.6,21.5,26.4,26.7,0.0,31.6,32.1,496.5,582.6,9.2,53.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,1
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,3
14.7,14.7,28.6,28.4,0.0,27.6,28.0,390.0,584.3,0.0,45.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,2
19.5,18.3,24.7,26.6,279.12,15.5,30.4,395.3,586.0,2.0,55.0,22.5,21.9,23.0,13365.0,379.0,13.2,0.0,3
11.7,8.0,31.9,33.8,0.0,7.6,44.9,280.9,706.7,0.0,52.0,37.0,61.9,129.0,23095.0,379.0,78.4,0.0,2
11.3,8.0,32.5,35.3,418.33,11.6,46.5,265.9,790.9,0.0,49.0,40.9,60.4,124.0,22852.0,389.0,76.4,0.0,2
19.8,18.2,29.7,32.9,0.0,14.9,41.1,385.9,834.6,1.7,55.0,26.1,34.5,64.0,18148.0,386.0,38.2,0.0,1
12.2,9.1,32.8,36.2,392.98,11.6,51.1,262.0,884.1,0.0,50.0,39.6,100.0,159.0,24553.0,391.0,100.0,0.0,2
21.8,20.0,28.3,29.1,0.0,21.1,34.3,460.2,640.9,0.0,71.0,20.0,11.6,14.0,14874.0,389.0,6.8,0.0,3
19.1,17.7,29.8,32.2,325.64,15.6,41.1,396.1,802.4,3.0,57.0,21.8,27.5,49.0,18384.0,380.0,28.3,0.0,1
21.4,18.1,27.7,29.9,767.58,13.5,39.6,364.0,749.6,3.6,60.0,21.3,29.1,48.0,18748.0,392.0,28.8,0.0,1
11.1,8.2,28.7,31.1,367.62,12.5,45.3,270.9,774.9,0.0,46.0,41.2,46.8,97.0,21449.0,389.0,57.6,0.0,2
19.8,18.3,31.1,33.1,158.75,14.9,38.1,385.5,751.5,2.1,54.0,27.3,34.6,59.0,17206.0,368.0,32.5,0.0,1
13.8,11.3,30.1,32.6,439.03,11.9,44.4,300.7,829.9,6.3,54.0,33.1,76.5,104.0,24055.0,401.0,65.5,0.0,3
16.2,16.2,15.9,16.3,0.0,19.8,20.4,415.7,396.2,2.2,63.0,0.0,0.0,0.0,0.0,413.0,0.0,0.0,1
11.6,8.0,26.9,29.9,456.36,11.3,38.8,264.4,655.0,0.0,49.0,38.4,50.5,84.0,20305.0,396.0,49.7,0.0,2
19.2,17.7,31.1,33.7,348.9,15.3,42.9,388.2,839.2,3.5,55.0,20.3,30.7,59.0,19272.0,379.0,34.0,0.0,1
11.9,8.0,27.4,30.6,494.39,10.8,40.4,260.4,683.4,0.0,52.0,46.3,56.2,95.0,21312.0,403.0,59.2,0.0,2
12.9,11.3,22.3,24.0,280.98,32.1,32.6,346.9,508.9,19.2,61.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,0
20.0,18.8,24.7,26.3,279.12,15.9,32.5,397.0,623.4,2.2,69.0,40.1,24.6,29.0,14235.0,379.0,16.6,0.0,1
20.0,18.1,25.7,27.7,441.94,14.4,35.9,378.1,704.6,2.0,55.0,27.8,32.9,51.0,16637.0,367.0,28.7,0.0,1
11.5,8.1,33.9,36.8,431.01,11.6,49.6,262.4,856.1,0.0,50.0,39.8,62.0,141.0,23690.0,385.0,86.8,0.0,2
13.4,11.2,31.1,33.2,386.35,12.6,47.9,309.9,836.4,9.3,55.0,25.0,100.0,90.0,26080.0,403.0,56.2,0.0,3
